reaction_id,reaction_name,reaction_equation,flux,lower_bound,upper_bound,reversible
3A2OA,3-Aminopropanoate 2-oxoglutarate aminotransferase,akg_c + ala_B_c <=> glu__L_c + msa_c,0.0,-1000.0,1000.0,True
3AMPtex,3AMP transport via diffusion (extracellular to periplasm),3amp_e <=> 3amp_p,0.0,-1000.0,1000.0,True
3CMPtex,3CMP transport via diffusion (extracellular to periplasm),3cmp_e <=> 3cmp_p,0.0,-1000.0,1000.0,True
3HBCOAHL,3-hydroxyisobutyryl-CoA hydrolase,3hibutcoa_c + h2o_c --> 3hmp_c + coa_c + h_c,0.0,0.0,1000.0,False
3NTD4pp,3'-nucleotidase (CMP) (periplasm),3cmp_p + h2o_p --> cytd_p + pi_p,0.0,0.0,1000.0,False
3NTD7pp,3'-nucleotidase (AMP) (periplasm),3amp_p + h2o_p --> adn_p + pi_p,0.0,0.0,1000.0,False
4ABUTabcpp,GABA transport via ABC system  periplasm,4abut_p + atp_c + h2o_c --> 4abut_c + adp_c + h_c + pi_c,0.0,0.0,1000.0,False
4HBZt3pp,4-hydroxybenzoate transport out via antiporter,4hbz_c + h_p --> 4hbz_p + h_c,0.0,0.0,1000.0,False
4HBZtex,4-Hydroxybenzoate transport (extracellular),4hbz_e <=> 4hbz_p,0.0,-1000.0,1000.0,True
4HPRO_LT_Et,Trans-4-Hydroxy-L-proline transport (transport mechanism unknown - evidence from biolog data),4hpro_LT_e <=> 4hpro_LT_c,0.0,-1000.0,1000.0,True
4HTHRK,4-Hydroxy-L-threonine kinase,4hthr_c + atp_c --> adp_c + h_c + phthr_c,0.0,0.0,1000.0,False
4HTHRS,4-Hydroxy-L-threonine synthase,h2o_c + phthr_c --> 4hthr_c + pi_c,0.0,0.0,1000.0,False
4PEPTtex,LalaDgluMdapDala (pentapeptide) transport via diffusion (extracellular to periplasm),LalaDgluMdapDala_e <=> LalaDgluMdapDala_p,0.0,-1000.0,1000.0,True
5DOAN,5'-deoxyadenosine nuclosidase,dad_5_c + h2o_c --> 5drib_c + ade_c,0.0,0.0,1000.0,False
6ATHAtexi,6 acetylthiohexanoic acid transport via diffusion  extracellular to periplasm,6atha_e --> 6atha_p,0.0,0.0,1000.0,False
AABTN,4 acetamidobutyrate deacetylase,4aabutn_c + h2o_c --> 4abut_c + ac_c,0.0,0.0,1000.0,False
AACPS2,Acyl-[acyl-carrier-protein] synthetase  (n-C14:1),ACP_c + atp_c + ttdcea_c --> amp_c + ppi_c + tdeACP_c,0.0,0.0,1000.0,False
AACPS4,Acyl-[acyl-carrier-protein] synthetase  (n-C16:1),ACP_c + atp_c + hdcea_c --> amp_c + hdeACP_c + ppi_c,0.0,0.0,1000.0,False
AACPS7,Acyl-[acyl-carrier-protein] synthetase  (n-C12:0),ACP_c + atp_c + ddca_c --> amp_c + ddcaACP_c + ppi_c,0.0,0.0,1000.0,False
AADa,,aad_c + coa_c <=> accoa_c + amp_c,0.0,-1000.0,1000.0,True
AADb,,ac_c + atp_c <=> aad_c + ppi_c,0.0,-1000.0,1000.0,True
AALDH,Aryl alcohol dehydrogenase,nadh_c + pacald_c <=> nad_c + pea_c,0.0,-1000.0,1000.0,True
AASAD3,L-aminoadipate-semialdehyde dehydrogenase (NADH),L2aadp6sa_c + h2o_c + nad_c --> L2aadp_c + 2.0 h_c + nadh_c,0.0,0.0,1000.0,False
AATA,2 aminoadipate transaminase,2oxoadp_c + glu__L_c <=> L2aadp_c + akg_c,0.0,-1000.0,1000.0,True
ABTA,4-aminobutyrate transaminase,4abut_c + akg_c --> glu__L_c + sucsal_c,0.0,0.0,1000.0,False
ABUTD,Aminobutyraldehyde dehydrogenase,4abutn_c + h2o_c + nad_c --> 4abut_c + 2.0 h_c + nadh_c,0.0,0.0,1000.0,False
ABUTt2pp,4-aminobutyrate transport in via proton symport (periplasm),4abut_p + h_p --> 4abut_c + h_c,0.0,0.0,1000.0,False
ABUTt2r,4 aminobutyrate reversible transport in via proton symport,4abut_e + h_e --> 4abut_c + h_c,0.0,0.0,1000.0,False
ABUTtex,4-aminobutyrate transport via diffusion (extracellular to periplasm),4abut_e <=> 4abut_p,0.0,-1000.0,1000.0,True
ACACT10,3-ketoacyl-CoA thiolase,3oddcoa_c + coa_c --> accoa_c + dcacoa_c,0.0,0.0,1000.0,False
ACACT11,3-ketoacyl-CoA thiolase,3ohcoa_c + coa_c --> accoa_c + btcoa_c,0.0,0.0,1000.0,False
ACACT12,3-ketoacyl-CoA thiolase,3ohdcoa_c + coa_c --> accoa_c + tdcoa_c,0.0,0.0,1000.0,False
ACACT13,3-ketoacyl-CoA thiolase,3odcoa_c + coa_c --> accoa_c + occoa_c,0.0,0.0,1000.0,False
ACACT1r,Acetyl-CoA C-acetyltransferase,2.0 accoa_c <=> aacoa_c + coa_c,0.0,-1000.0,1000.0,True
ACACT2r,Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),accoa_c + btcoa_c <=> 3ohcoa_c + coa_c,0.0,-1000.0,1000.0,True
ACACT3r,Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),accoa_c + hxcoa_c <=> 3oocoa_c + coa_c,0.0,-1000.0,1000.0,True
ACACT4r,Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),accoa_c + occoa_c <=> 3odcoa_c + coa_c,0.0,-1000.0,1000.0,True
ACACT5r,Acetyl-CoA C-acyltransferase (decanoyl-CoA) (r),accoa_c + dcacoa_c <=> 3oddcoa_c + coa_c,0.0,-1000.0,1000.0,True
ACACT5r_1,Acetyl CoA C acyltransferase  decanoyl CoA,accoa_c + dccoa_c <=> 3oddcoa_c + coa_c,0.0,-1000.0,1000.0,True
ACACT6r_1,Acetyl CoA C acyltransferase  dodecanoyl CoA,accoa_c + ddcoa_c <=> 3otdcoa_c + coa_c,0.0,-1000.0,1000.0,True
ACACT7r,Acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r),accoa_c + tdcoa_c <=> 3ohdcoa_c + coa_c,0.0,-1000.0,1000.0,True
ACACT8,3-ketoacyl-CoA thiolase,3oocoa_c + coa_c --> accoa_c + hxcoa_c,0.0,0.0,1000.0,False
ACACT8r,"Acetyl-CoA acyltransferase (hexadecanoyl-CoA), (r)",3ohodcoa_c + coa_c <=> accoa_c + pmtcoa_c,0.0,-1000.0,1000.0,True
ACACT9,3-ketoacyl-CoA thiolase,3otdcoa_c + coa_c --> accoa_c + ddcacoa_c,0.0,0.0,1000.0,False
ACACt2pp,Acetoacetate transport via proton symport  (periplasm),acac_p + h_p --> acac_c + h_c,0.0,0.0,1000.0,False
ACACtex,Acetoacetate transport via diffusion (extracellular to periplasm),acac_e <=> acac_p,0.0,-1000.0,1000.0,True
ACALDt,Acetaldehyde reversible transport,acald_e <=> acald_c,0.0,-1000.0,1000.0,True
ACALDtpp,Acetaldehyde reversible transport (periplasm),acald_p <=> acald_c,0.0,-1000.0,1000.0,True
ACCOAC,Acetyl-CoA carboxylase,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,0.0,0.0,1000.0,False
ACGAMK,N-acetylglucosamine kinase,acgam_c + atp_c --> acgam6p_c + adp_c + h_c,0.0,0.0,1000.0,False
ACGApts,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS,acgam_e + pep_c --> acgam6p_c + pyr_c,0.0,0.0,1000.0,False
ACGS,N-acetylglutamate synthase,accoa_c + glu__L_c --> acglu_c + coa_c + h_c,0.0,0.0,1000.0,False
ACHBS,2-aceto-2-hydroxybutanoate synthase,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c,0.0,0.0,1000.0,False
ACLS,Acetolactate synthase,h_c + 2.0 pyr_c --> alac__S_c + co2_c,0.3466921042741136,0.0,1000.0,False
ACLS_a,Acetolactate synthase,h_c + pyr_c + thmpp_c --> co2_c + hethmpp_c,0.0,0.0,1000.0,False
ACLS_d,2-alpha-Hydroxyethylthiamine diphosphate lipoamide,hethmpp_c + lpam_c <=> adhlam_c + thmpp_c,-0.11528547254316349,-1000.0,1000.0,True
ACLSa,Acetolactate synthase (step 1),h_c + pyr_c + thmpp_c --> 2ahethmpp_c + co2_c,0.0,0.0,1000.0,False
ACLSb,Acetolactate synthase (step 2),2ahethmpp_c + pyr_c --> alac__S_c + thmpp_c,0.0,0.0,1000.0,False
ACM6PH,N-acetylmuramate 6-phosphate hydrolase,acmum6p_c + h2o_c --> acgam6p_c + lac__D_c,0.0,0.0,1000.0,False
ACOAD1,Acyl-CoA dehydrogenase (butanoyl-CoA),b2coa_c + h_c + nadh_c --> btcoa_c + nad_c,0.0,0.0,1000.0,False
ACOAD10f,Acyl CoA dehydrogenase  heptanoyl CoA,fad_c + 2.0 h_c + hptcoa_c <=> fadh2_c + hp2coa_c,0.0,-1000.0,1000.0,True
ACOAD11f,Acyl CoA dehydrogenase  nonanoyl CoA,fad_c + nonacoa_c <=> fadh2_c + 2.0 h_c + nona2coa_c,0.0,-1000.0,1000.0,True
ACOAD12f,Acyl CoA dehydrogenase  Phenyldecanoyl CoA,fad_c + 2.0 h_c + pdcacoa_c <=> fadh2_c + pdca2coa_c,0.0,-1000.0,1000.0,True
ACOAD13f,Acyl CoA dehydrogenase  Phenylnonanoyl CoA,fad_c + 2.0 h_c + pnonacoa_c <=> fadh2_c + pnona2coa_c,0.0,-1000.0,1000.0,True
ACOAD14f,Acyl CoA dehydrogenase  Phenyloctanoyl CoA,fad_c + 2.0 h_c + poctacoa_c <=> fadh2_c + pocta2coa_c,0.0,-1000.0,1000.0,True
ACOAD15f,Acyl CoA dehydrogenase  Phenylheptanoyl CoA,fad_c + 2.0 h_c + phpcoa_c <=> fadh2_c + php2coa_c,0.0,-1000.0,1000.0,True
ACOAD16f,Acyl CoA dehydrogenase  Phenylhexanoyl CoA,fad_c + 2.0 h_c + phxacoa_c <=> fadh2_c + phxa2coa_c,0.0,-1000.0,1000.0,True
ACOAD17f,Acyl CoA dehydrogenase  Phenylpentanoyl CoA,fad_c + 2.0 h_c + pptcoa_c <=> fadh2_c + ppt2coa_c,0.0,-1000.0,1000.0,True
ACOAD18f,Acyl CoA dehydrogenase  Phenylbutyryl CoA,fad_c + 2.0 h_c + pbcoa_c <=> fadh2_c + pb2coa_c,0.0,-1000.0,1000.0,True
ACOAD1f,Acyl-CoA dehydrogenase (butanoyl-CoA),btcoa_c + fad_c --> b2coa_c + fadh2_c,0.0,0.0,1000.0,False
ACOAD1fr,Acyl-CoA dehydrogenase (butanoyl-CoA),b2coa_c + fadh2_c --> btcoa_c + fad_c,0.0,0.0,1000.0,False
ACOAD20,Acyl CoA dehydrogenase  2 methylbutnoyl CoA,2.0 2mbcoa_c + o2_c --> 2.0 2mb2coa_c + 2.0 h2o_c,0.0,0.0,1000.0,False
ACOAD20f,Acyl CoA dehydrogenase  6 acetylthiohexanoyl CoA,6athcoa_c + fad_c + 2.0 h_c <=> 6ath2coa_c + fadh2_c,0.0,-1000.0,1000.0,True
ACOAD21f,Acyl CoA dehydrogenase  4 acetylthiobutanoyl CoA,4atbcoa_c + fad_c + 2.0 h_c <=> 4atb2coa_c + fadh2_c,0.0,-1000.0,1000.0,True
ACOAD22f,Acyl CoA dehydrogenase  vaccenyl CoA,fad_c + vacccoa_c <=> fadh2_c + vacc2coa_c,0.0,-1000.0,1000.0,True
ACOAD23f,Acyl CoA dehydrogenase  cis hexadec 9 enoyl CoA,fad_c + hdcoa_c <=> fadh2_c + hd2coa_c,0.0,-1000.0,1000.0,True
ACOAD24f,Acyl CoA dehydrogenase  cis tetradec 7 enoyl CoA,fad_c + tdecoa_c <=> fadh2_c + tde2coa_c,0.0,-1000.0,1000.0,True
ACOAD25f,Acyl CoA dehydrogenase  cis dodedec 5 enoyl CoA  C121d5,ddecoa_c + fad_c + h_c <=> dde2coa_c + fadh2_c,0.0,-1000.0,1000.0,True
ACOAD26f,Acyl CoA dehydrogenase  acyl CoA dehydrogenase  oleicyl CoA   C181d9,fad_c + odecoa_c <=> fadh2_c + ode2coa_c,0.0,-1000.0,1000.0,True
ACOAD27f,Acyl CoA dehydrogenase  cis hexadec 7 enoyl CoA,fad_c + hdd7coa_c <=> fadh2_c + hdd7_2_coa_c,0.0,-1000.0,1000.0,True
ACOAD28f,Acyl CoA dehydrogenase  cis tetradec 5 enoyl CoA,fad_c + tded5coa_c <=> fadh2_c + tded5_2_coa_c,0.0,-1000.0,1000.0,True
ACOAD29f,Acyl CoA dehydrogenase  petroselenyl CoA,fad_c + 2.0 h_c + ptslacoa_c <=> fadh2_c + ptsla2coa_c,0.0,-1000.0,1000.0,True
ACOAD3,Acyl-CoA dehydrogenase (octanoyl-CoA),nad_c + occoa_c <=> h_c + nadh_c + oc2coa_c,0.0,-1000.0,1000.0,True
ACOAD30f,Acyl CoA dehydrogenase  cis hexadec 4 enoyl CoA,fad_c + h_c + hdd4coa_c <=> fadh2_c + hdd4_2_coa_c,0.0,-1000.0,1000.0,True
ACOAD31f,Acyl CoA dehydrogenase  linoleic coenzyme A,fad_c + lnlccoa_c <=> fadh2_c + 2.0 h_c + lnlc2coa_c,0.0,-1000.0,1000.0,True
ACOAD32f,Acyl CoA dehydrogenase  cis cis hexadec 7 10 dienoyl CoA,fad_c + hd_7_10_coa_c <=> fadh2_c + hd710_2_coa_c,0.0,-1000.0,1000.0,True
ACOAD33f,Acyl CoA dehydrogenase  cis cis tetradec 5 8 dienoyl CoA,fad_c + td_5_8_coa_c <=> fadh2_c + td58_2_coa_c,0.0,-1000.0,1000.0,True
ACOAD34f,Acyl CoA dehydrogenase  4 cis decenoyl CoA,dec4coa_c + fad_c + 2.0 h_c <=> dec4_2_coa_c + fadh2_c,0.0,-1000.0,1000.0,True
ACOAD3f,Acyl-CoA dehydrogenase (octanoyl-CoA),fad_c + occoa_c <=> fadh2_c + oc2coa_c,0.0,-1000.0,1000.0,True
ACOAD4,Acyl-CoA dehydrogenase (decanoyl-CoA),dcacoa_c + nad_c --> dc2coa_c + h_c + nadh_c,0.0,0.0,1000.0,False
ACOAD4_1,Acyl CoA dehydrogenase  decanoyl CoA,dccoa_c + nad_c <=> dc2coa_c + h_c + nadh_c,0.0,-1000.0,1000.0,True
ACOAD4f,Acyl-CoA dehydrogenase (decanoyl-CoA),dcacoa_c + fad_c <=> dc2coa_c + fadh2_c,0.0,-1000.0,1000.0,True
ACOAD5,Acyl-CoA dehydrogenase (dodecanoyl-CoA),ddcacoa_c + nad_c --> dd2coa_c + h_c + nadh_c,0.0,0.0,1000.0,False
ACOAD5_1,Acyl CoA dehydrogenase  dodecanoyl CoA,ddcoa_c + nad_c <=> h_c + nadh_c + trans_dd2coa_c,0.0,-1000.0,1000.0,True
ACOAD5f,Acyl-CoA dehydrogenase (dodecanoyl-CoA),ddcacoa_c + fad_c <=> dd2coa_c + fadh2_c,0.0,-1000.0,1000.0,True
ACOAD6,Acyl-CoA dehydrogenase (tetradecanoyl-CoA),nad_c + tdcoa_c <=> h_c + nadh_c + td2coa_c,0.0,-1000.0,1000.0,True
ACOAD6f,Acyl-CoA dehydrogenase (tetradecanoyl-CoA),fad_c + tdcoa_c <=> fadh2_c + td2coa_c,0.0,-1000.0,1000.0,True
ACOAD7,Acyl-CoA dehydrogenase (hexadecanoyl-CoA),nad_c + pmtcoa_c <=> h_c + hdd2coa_c + nadh_c,0.0,-1000.0,1000.0,True
ACOAD7f,Acyl-CoA dehydrogenase (hexadecanoyl-CoA),fad_c + pmtcoa_c <=> fadh2_c + hdd2coa_c,0.0,-1000.0,1000.0,True
ACOAD8f,Acyl-CoA dehydrogenase (octadecanoyl-CoA),fad_c + stcoa_c <=> fadh2_c + od2coa_c,0.0,-1000.0,1000.0,True
ACOADH2,Acyl CoA dehydrogenase  isobutyryl CoA,2.0 ibcoa_c + o2_c --> 2.0 2mp2coa_c + 2.0 h2o_c,0.0,0.0,1000.0,False
ACODA,Acetylornithine deacetylase,acorn_c + h2o_c --> ac_c + orn_c,0.0,0.0,1000.0,False
ACONT,Aconitate hydratase,cit_c <=> icit_c,13.470689170018252,-1000.0,1000.0,True
ACONTa,"Aconitase (half-reaction A, Citrate hydro-lyase)",cit_c <=> acon_C_c + h2o_c,0.0,-1000.0,1000.0,True
ACONTb,"Aconitase (half-reaction B, Isocitrate hydro-lyase)",acon_C_c + h2o_c <=> icit_c,0.0,-1000.0,1000.0,True
ACOTA,Acetylornithine transaminase,acorn_c + akg_c <=> acg5sa_c + glu__L_c,0.0,-1000.0,1000.0,True
ACP1_FMN,Acid phosphatase (FMN),fmn_c + h2o_c --> pi_c + ribflv_c,0.0,0.0,1000.0,False
ACPS,Acyl Carrier Protein Synthase,coa_c + h2o_c --> 2.0 h_c + pan4p_c + pap_c,0.0,0.0,1000.0,False
ACS,Acetyl-CoA synthetase,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c,19.06107297995603,0.0,1000.0,False
ACSERHS,O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide),acser_c + trdrd_c + tsul_c --> ac_c + cys__L_c + h_c + so3_c + trdox_c,0.0,0.0,1000.0,False
ACSERL,"O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide), cytosol",acser_c + seln_c --> ac_c + selcys_c,0.0,0.0,1000.0,False
ACSPHAC100,R 3 Hydroxyacid Acyl CoA Synthetase  C100,R_3hdcaa_c + atp_c + coa_c --> R_3hdcoa_c + amp_c + ppi_c,0.0,0.0,1000.0,False
ACSPHAC101,R 3 Hydroxyacid Acyl CoA Synthetase  C101,R3hdec4e_c + atp_c + coa_c --> R3hdec4coa_c + amp_c + ppi_c,0.0,0.0,1000.0,False
ACSPHAC120,R 3 Hydroxyacid Acyl CoA Synthetase  C120,R_3hdda_c + atp_c + coa_c --> R_3hddcoa_c + amp_c + ppi_c,0.0,0.0,1000.0,False
ACSPHAC121,R 3 Hydroxyacid Acyl CoA Synthetase  C121,R_3hdd5ea_c + atp_c + coa_c --> R_3hcddec5ecoa_c + amp_c + ppi_c,0.0,0.0,1000.0,False
ACSPHAC121d6,R 3 Hydroxyacid Acyl CoA Synthetase  C121d6,R_3hdd6e_c + atp_c + coa_c --> R_3hdd6coa_c + amp_c + ppi_c,0.0,0.0,1000.0,False
ACSPHAC140,R 3 Hydroxyacid Acyl CoA Synthetase  C140,R_3httdca_c + atp_c + coa_c --> R_3hmrscoa_c + amp_c + ppi_c,0.0,0.0,1000.0,False
ACSPHAC141,R 3 Hydroxyacid Acyl CoA Synthetase  C141,R_3hcmrs7e_c + atp_c + coa_c --> R_3hcmrs7ecoa_c + amp_c + ppi_c,0.0,0.0,1000.0,False
ACSPHAC141d5,R 3 Hydroxyacid Acyl CoA Synthetase  C141,R_3htd5e_c + atp_c + coa_c --> R_3htd5coa_c + amp_c + ppi_c,0.0,0.0,1000.0,False
ACSPHAC142,R 3 Hydroxyacid Acyl CoA Synthetase  C142,R_3htd58e_c + atp_c + coa_c --> R_3htd58coa_c + amp_c + ppi_c,0.0,0.0,1000.0,False
ACSPHAC160,R 3 Hydroxyacid Acyl CoA Synthetase  C160,R_3hhdca_c + atp_c + coa_c --> R_3hhdcoa_c + amp_c + ppi_c,0.0,0.0,1000.0,False
ACSPHAC40,R 3 Hydroxyacid Acyl CoA Synthetase  C40,atp_c + bhb_c + coa_c --> 3hbcoa__R_c + amp_c + ppi_c,0.0,0.0,1000.0,False
ACSPHAC50,R 3 Hydroxyacid Acyl CoA Synthetase  C50,R_3hpt_c + atp_c + coa_c --> R_3hptcoa_c + amp_c + ppi_c,0.0,0.0,1000.0,False
ACSPHAC60,R 3 Hydroxyacid Acyl CoA Synthetase  C60,R_3hhxa_c + atp_c + coa_c --> R_3hhcoa_c + amp_c + ppi_c,0.0,0.0,1000.0,False
ACSPHAC70,R 3 Hydroxyacid Acyl CoA Synthetase  C70,R_3hhpa_c + atp_c + coa_c --> R_3hhpcoa_c + amp_c + ppi_c,0.0,0.0,1000.0,False
ACSPHAC80,R 3 Hydroxyacid Acyl CoA Synthetase  C80,R_3hocta_c + atp_c + coa_c --> R_3hocoa_c + amp_c + ppi_c,0.0,0.0,1000.0,False
ACSPHAC90,R 3 Hydroxyacid Acyl CoA Synthetase  C90,R_3hnonaa_c + atp_c + coa_c --> R_3hnonacoa_c + amp_c + ppi_c,0.0,0.0,1000.0,False
ACSPHACP100,R 3 Hydroxyacid Acyl CoA Synthetase  Phenyl C100,R_3hpdeca_c + atp_c + coa_c --> R_3hpdecacoa_c + amp_c + ppi_c,0.0,0.0,1000.0,False
ACSPHACP40,R 3 Hydroxyacid Acyl CoA Synthetase  Phenyl C40,R_3hpba_c + atp_c + coa_c --> R_3hpbcoa_c + amp_c + ppi_c,0.0,0.0,1000.0,False
ACSPHACP50,R 3 Hydroxyacid Acyl CoA Synthetase  Phenyl C50,R_3hppta_c + atp_c + coa_c --> R_3hpptcoa_c + amp_c + ppi_c,0.0,0.0,1000.0,False
ACSPHACP60,R 3 Hydroxyacid Acyl CoA Synthetase  Phenyl C60,R_3hphxa_c + atp_c + coa_c --> R_3hphxacoa_c + amp_c + ppi_c,0.0,0.0,1000.0,False
ACSPHACP70,R 3 Hydroxyacid Acyl CoA Synthetase  Phenyl C70,R_3hphpa_c + atp_c + coa_c --> R_3hphpcoa_c + amp_c + ppi_c,0.0,0.0,1000.0,False
ACSPHACP80,R 3 Hydroxyacid Acyl CoA Synthetase  Phenyl C80,R_3hpocta_c + atp_c + coa_c --> R_3hpoctacoa_c + amp_c + ppi_c,0.0,0.0,1000.0,False
ACSPHACP90,R 3 Hydroxyacid Acyl CoA Synthetase  Phenyl C90,R_3hpnona_c + atp_c + coa_c --> R_3hpnonacoa_c + amp_c + ppi_c,0.0,0.0,1000.0,False
