reaction_id,name,equation,genes,pathway,is_active,max_flux,lower_bound,upper_bound,reversible,priority
T_thm_e_to_c,,thm_e <=> thmc,,Transport,False,0.0,-1000.0,1000.0,True,MEDIUM
T_thm_e_to_thm_c,,thm_e <=> thm_c,,Transport,False,0.0,-1000.0,1000.0,True,MEDIUM
T_thr__L_e_to_thr__L_c,,thr__L_e <=> thr__L_c,,Transport,False,0.0,-1000.0,1000.0,True,MEDIUM
T_trp__L_e_to_trp__L_c,,trp__L_e <=> trp__L_c,,Transport,False,0.0,-1000.0,1000.0,True,MEDIUM
T_tyr__L_e_to_tyr__L_c,,tyr__L_e <=> tyr__L_c,,Transport,False,0.0,-1000.0,1000.0,True,MEDIUM
T_val__L_e_to_val__L_c,,val__L_e <=> val__L_c,,Transport,False,0.0,-1000.0,1000.0,True,MEDIUM
T_zn2_e_to_zn2_c,,zn2_e <=> zn2_c,,Transport,False,0.0,-1000.0,1000.0,True,MEDIUM
FADS,,atp_c + fmn_c --> fad_c + ppi_c,,Cofactor Metabolism,False,0.0,0.0,1000.0,False,LOW
MQN8r_NADH,,2.0 h_c + mqn8_c + nadh_c --> mql8_c + nad_c,,Cofactor Metabolism,False,0.0,0.0,1000.0,False,LOW
NADH16_MQ,NDH-1 to MQN8,4.0 h_c + mqn8_c + nadh_c --> 3.0 h_p + mqn8h2_c + nad_c,,Cofactor Metabolism,False,0.0,0.0,1000.0,False,LOW
SUPPLY_accoa_c,, --> accoa_c,,Cofactor Metabolism,False,0.0,0.0,0.0,False,LOW
BCAT_LEU,,4mop_c + glu__L_c <=> akg_c + leu__L_c,,Other,False,0.0,-1000.0,1000.0,True,LOW
BCAT_VAL,,2kiv_c + glu__L_c <=> akg_c + val__L_c,,Other,False,0.0,-1000.0,1000.0,True,LOW
CA,carbonic anhydrase,co2_c + h2o_c <=> h_c + hco3_c,,Other,False,0.0,-1000.0,1000.0,True,LOW
DHAD,,dhiv_c --> 2kiv_c + h2o_c,,Other,False,0.0,0.0,1000.0,False,LOW
IPMI,,2ippm_c <=> 3ippm_c,,Other,False,0.0,-1000.0,1000.0,True,LOW
KARI,,alac__S_c + h_c + nadph_c --> dhiv_c + nadp_c,,Other,False,0.0,0.0,1000.0,False,LOW
MKOX,menaquinol-8 oxidation (pseudo),mql8_c + nad_c --> h_c + mqn8_c + nadh_c,,Other,False,0.0,0.0,1000.0,False,LOW
PDXK,,atp_c + pydxn_c --> adp_c + h_c + pydx5p_c,,Other,False,0.0,0.0,1000.0,False,LOW
RIBFLVKin,,atp_c + ribflv_c --> adp_c + fmn_c + h_c,,Other,False,0.0,0.0,1000.0,False,LOW
SUPPLY_oaa_c,, --> oaa_c,,Other,False,0.0,0.0,0.0,False,LOW
THIK,,atp_c + thm_c --> adp_c + h_c + thmpp_c,,Other,False,0.0,0.0,1000.0,False,LOW
